"id","name","rgb","is_trans","color.name","color.hex","text.color.hex"
-1,"[Unknown]","0033B2","f","[Unknown]","#0033B2","#FFFFFF"
0,"Black","05131D","f","Black","#05131D","#FFFFFF"
1,"Blue","0055BF","f","Blue","#0055BF","#FFFFFF"
2,"Green","237841","f","Green","#237841","#FFFFFF"
3,"Dark Turquoise","008F9B","f","Dark Turquoise","#008F9B","#FFFFFF"
4,"Red","C91A09","f","Red","#C91A09","#FFFFFF"
5,"Dark Pink","C870A0","f","Dark Pink","#C870A0","#FFFFFF"
6,"Brown","583927","f","Brown","#583927","#FFFFFF"
7,"Light Gray","9BA19D","f","Light Gray","#9BA19D","#FFFFFF"
8,"Dark Gray","6D6E5C","f","Dark Gray","#6D6E5C","#FFFFFF"
9,"Light Blue","B4D2E3","f","Light Blue","#B4D2E3","#FFFFFF"
10,"Bright Green","4B9F4A","f","Bright Green","#4B9F4A","#FFFFFF"
11,"Light Turquoise","55A5AF","f","Light Turquoise","#55A5AF","#FFFFFF"
12,"Salmon","F2705E","f","Salmon","#F2705E","#FFFFFF"
13,"Pink","FC97AC","f","Pink","#FC97AC","#FFFFFF"
14,"Yellow","F2CD37","f","Yellow","#F2CD37","#000000"
15,"White","FFFFFF","f","White","#FFFFFF","#000000"
17,"Light Green","C2DAB8","f","Light Green","#C2DAB8","#000000"
18,"Light Yellow","FBE696","f","Light Yellow","#FBE696","#000000"
19,"Tan","E4CD9E","f","Tan","#E4CD9E","#000000"
20,"Light Violet","C9CAE2","f","Light Violet","#C9CAE2","#FFFFFF"
21,"Glow In Dark Opaque","D4D5C9","f","Glow In Dark Opaque","#D4D5C9","#000000"
22,"Purple","81007B","f","Purple","#81007B","#FFFFFF"
23,"Dark Blue-Violet","2032B0","f","Dark Blue-Violet","#2032B0","#FFFFFF"
25,"Orange","FE8A18","f","Orange","#FE8A18","#FFFFFF"
26,"Magenta","923978","f","Magenta","#923978","#FFFFFF"
27,"Lime","BBE90B","f","Lime","#BBE90B","#000000"
28,"Dark Tan","958A73","f","Dark Tan","#958A73","#FFFFFF"
29,"Bright Pink","E4ADC8","f","Bright Pink","#E4ADC8","#FFFFFF"
30,"Medium Lavender","AC78BA","f","Medium Lavender","#AC78BA","#FFFFFF"
31,"Lavender","E1D5ED","f","Lavender","#E1D5ED","#000000"
32,"Trans-Black IR Lens","635F52","t","Trans-Black IR Lens","#635F52","#FFFFFF"
33,"Trans-Dark Blue","0020A0","t","Trans-Dark Blue","#0020A0","#FFFFFF"
34,"Trans-Green","84B68D","t","Trans-Green","#84B68D","#FFFFFF"
35,"Trans-Bright Green","D9E4A7","t","Trans-Bright Green","#D9E4A7","#000000"
36,"Trans-Red","C91A09","t","Trans-Red","#C91A09","#FFFFFF"
40,"Trans-Black","635F52","t","Trans-Black","#635F52","#FFFFFF"
41,"Trans-Light Blue","AEEFEC","t","Trans-Light Blue","#AEEFEC","#000000"
42,"Trans-Neon Green","F8F184","t","Trans-Neon Green","#F8F184","#000000"
43,"Trans-Very Lt Blue","C1DFF0","t","Trans-Very Lt Blue","#C1DFF0","#000000"
45,"Trans-Dark Pink","DF6695","t","Trans-Dark Pink","#DF6695","#FFFFFF"
46,"Trans-Yellow","F5CD2F","t","Trans-Yellow","#F5CD2F","#000000"
47,"Trans-Clear","FCFCFC","t","Trans-Clear","#FCFCFC","#000000"
52,"Trans-Purple","A5A5CB","t","Trans-Purple","#A5A5CB","#FFFFFF"
54,"Trans-Neon Yellow","DAB000","t","Trans-Neon Yellow","#DAB000","#FFFFFF"
57,"Trans-Neon Orange","FF800D","t","Trans-Neon Orange","#FF800D","#FFFFFF"
60,"Chrome Antique Brass","645A4C","f","Chrome Antique Brass","#645A4C","#FFFFFF"
61,"Chrome Blue","6C96BF","f","Chrome Blue","#6C96BF","#FFFFFF"
62,"Chrome Green","3CB371","f","Chrome Green","#3CB371","#FFFFFF"
63,"Chrome Pink","AA4D8E","f","Chrome Pink","#AA4D8E","#FFFFFF"
64,"Chrome Black","1B2A34","f","Chrome Black","#1B2A34","#FFFFFF"
68,"Very Light Orange","F3CF9B","f","Very Light Orange","#F3CF9B","#000000"
69,"Light Purple","CD6298","f","Light Purple","#CD6298","#FFFFFF"
70,"Reddish Brown","582A12","f","Reddish Brown","#582A12","#FFFFFF"
71,"Light Bluish Gray","A0A5A9","f","Light Bluish Gray","#A0A5A9","#FFFFFF"
72,"Dark Bluish Gray","6C6E68","f","Dark Bluish Gray","#6C6E68","#FFFFFF"
73,"Medium Blue","5A93DB","f","Medium Blue","#5A93DB","#FFFFFF"
74,"Medium Green","73DCA1","f","Medium Green","#73DCA1","#FFFFFF"
75,"Speckle Black-Copper","000000","f","Speckle Black-Copper","#000000","#FFFFFF"
76,"Speckle DBGray-Silver","635F61","f","Speckle DBGray-Silver","#635F61","#FFFFFF"
77,"Light Pink","FECCCF","f","Light Pink","#FECCCF","#000000"
78,"Light Flesh","F6D7B3","f","Light Flesh","#F6D7B3","#000000"
79,"Milky White","FFFFFF","f","Milky White","#FFFFFF","#000000"
80,"Metallic Silver","A5A9B4","f","Metallic Silver","#A5A9B4","#FFFFFF"
81,"Metallic Green","899B5F","f","Metallic Green","#899B5F","#FFFFFF"
