"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex"
"055-1","Trees & Bushes",1966,25,371,"System","Supplemental",NA,24744,NA,12,12,"ftbushpf","Plant, Tree Flat Bush plain with feet",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"055-1","Trees & Bushes",1966,25,371,"System","Supplemental",NA,24744,NA,12,12,"ftpinepf","Plant, Tree Flat Pine plain with feet",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,1,1,"30115","Snake",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,4,4,"55236","Spiky Vine / Tail [aka Bionicle Spine]",28,"Plants and Animals",FALSE,288,"Dark Green","#184632",FALSE,"#FFFFFF"
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,3,3,"87747","Barb Medium Flexible [Claw, Horn]",28,"Plants and Animals",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF"
"0756672805-1","Pirates: Brickmaster",2009,162,497,"Books",NA,NA,10414,NA,2,2,"6148","Plant, Palm Leaf Small",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"0756672813-1","Castle: Brickmaster",2009,141,497,"Books",NA,NA,13631,NA,4,4,"53451","Barb Small Flexible [Claw, Horn]",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"0756672813-1","Castle: Brickmaster",2009,141,497,"Books",NA,NA,13631,NA,1,1,"59228","Horse, Skeletal",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"0756682762-1","Ninjago Brickmaster",2011,154,497,"Books",NA,NA,16042,NA,2,2,"30176","Plant, Round 1 x 1 - 3 Bamboo Leaves",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"0756682762-1","Ninjago Brickmaster",2011,154,497,"Books",NA,NA,16042,NA,3,3,"92691","Dog Bone [Long]",28,"Plants and Animals",FALSE,15,"White","#FFFFFF",FALSE,"#000000"
"080-1","Basic Building Set with Train",1967,712,366,"System","Basic Set",NA,1973,NA,2,2,"ftbirchh","Plant, Tree Flat Birch painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"080-1","Basic Building Set with Train",1967,712,366,"System","Basic Set",NA,1973,NA,2,2,"ftbushh","Plant, Tree Flat Bush painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"080-1","Basic Building Set with Train",1967,712,366,"System","Basic Set",NA,1973,NA,2,2,"ftpineh","Plant, Tree Flat Pine painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"080-2","Ambassador Set",1967,712,366,"System","Basic Set",NA,24756,NA,2,2,"ftbirchh","Plant, Tree Flat Birch painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"080-2","Ambassador Set",1967,712,366,"System","Basic Set",NA,24756,NA,2,2,"ftbushh","Plant, Tree Flat Bush painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"080-2","Ambassador Set",1967,712,366,"System","Basic Set",NA,24756,NA,2,2,"ftpineh","Plant, Tree Flat Pine painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"088-1","Super Set",1969,615,469,"Universal Building Set","Basic Set",NA,13887,NA,1,1,"ftcyph","Plant, Tree Flat Cypress painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"088-1","Super Set",1969,615,469,"Universal Building Set","Basic Set",NA,13887,NA,1,1,"ftpineh","Plant, Tree Flat Pine painted with hollow base",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,4,4,"2417","Plant, Leaves 6 x 5",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,1,1,"2423","Plant, Leaves 4 x 3",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,4,4,"2518","Plant, Palm Leaf Large 10 x 5",28,"Plants and Animals",FALSE,2,"Green","#237841",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,5,5,"2536","Plant, Tree Palm Trunk [Undetermined Type]",28,"Plants and Animals",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,1,1,"2546p01","Bird - Parrot with Coloured Feathers Print",28,"Plants and Animals",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,1,1,"2563","Plant, Palm Tree Base",28,"Plants and Animals",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF"
