"from","to","type","depth","color"
"animal","chordate","animal",1,"black"
"chordate","craniate","animal",2,"black"
"craniate","reptile","animal",3,"black"
"reptile","diapsid reptile","animal",4,"black"
"diapsid reptile","saurian","animal",5,"black"
"saurian","lizard","animal",6,"black"
"lizard","agamid lizard","animal",7,"black"
"agamid lizard","dragon","animal",8,"black"
"craniate","mammalian","animal",3,"black"
"mammalian","placental mammal","animal",4,"black"
"placental mammal","hoofed mammal","animal",5,"black"
"hoofed mammal","perissodactyl","animal",6,"black"
"perissodactyl","equine","animal",7,"black"
"equine","horse","animal",8,"black"
"craniate","bird","animal",3,"black"
"bird","raptor","animal",4,"black"
"placental mammal","carnivore","animal",5,"black"
"carnivore","canine","animal",6,"black"
"canine","dog","animal",7,"black"
"plant","tracheophyte","plant",1,"black"
"tracheophyte","ligneous plant","plant",2,"black"
"ligneous plant","tree","plant",3,"black"
"carnivore","feline","animal",6,"black"
"feline","cat","animal",7,"black"
"diapsid reptile","archosaur","animal",5,"black"
"archosaur","dinosaur","animal",6,"black"
"tracheophyte","spermatophyte","plant",2,"black"
"spermatophyte","angiosperm","plant",3,"black"
"angiosperm","flower","plant",4,"black"
"craniate","aquatic vertebrate","animal",3,"black"
"aquatic vertebrate","fish","animal",4,"black"
"fish","cartilaginous fish","animal",5,"black"
"cartilaginous fish","selachian","animal",6,"black"
"selachian","shark","animal",7,"black"
"carnivore","bear","animal",6,"black"
"placental mammal","gnawing mammal","animal",5,"black"
"gnawing mammal","leporid mammal","animal",6,"black"
"leporid mammal","rabbit","animal",7,"black"
"placental mammal","bat","animal",5,"black"
"tree","palm","plant",4,"black"
"ligneous plant","bush","plant",3,"black"
"raptor","owl","animal",5,"black"
"tree","gymnospermous tree","plant",4,"black"
"gymnospermous tree","coniferous tree","plant",5,"black"
"coniferous tree","pine","plant",6,"black"
"dinosaur","ornithischian","animal",7,"black"
"ornithischian","ceratopsian","animal",8,"black"
"ceratopsian","triceratops","animal",9,"black"
"dinosaur","saurischian","animal",7,"black"
"saurischian","bird-footed dinosaur","animal",8,"black"
"bird-footed dinosaur","tyrannosaurus","animal",9,"black"
"placental mammal","aquatic mammal","animal",5,"black"
"aquatic mammal","blower","animal",6,"black"
"blower","whale","animal",7,"black"
"whale","toothed whale","animal",8,"black"
"toothed whale","dolphin","animal",9,"black"
"equine","foal","animal",8,"black"
"canine","fox","animal",7,"black"
"feline","big cat","animal",7,"black"
"big cat","lion","animal",8,"black"
"hoofed mammal","artiodactyl mammal","animal",6,"black"
"artiodactyl mammal","swine","animal",7,"black"
"swine","pig","animal",8,"black"
"diapsid reptile","crocodilian","animal",5,"black"
"crocodilian","alligator","animal",6,"black"
"crocodilian","crocodile","animal",6,"black"
"raptor","eagle","animal",5,"black"
"placental mammal","cony","animal",5,"black"
"cony","bunny","animal",6,"black"
"feline","kitten","animal",7,"black"
"bird","parrot","animal",4,"black"
"diapsid reptile","serpent","animal",5,"black"
"animal","invertebrate","animal",1,"black"
"invertebrate","arthropod","animal",2,"black"
"arthropod","arachnid","animal",3,"black"
"arachnid","spider","animal",4,"black"
"canine","canis familiaris","animal",7,"black"
"canis familiaris","working dog","animal",8,"black"
"working dog","sheep dog","animal",9,"black"
"sheep dog","alsatian","animal",10,"black"
"lizard","chameleon","animal",7,"black"
"coniferous tree","cypress","plant",6,"black"
"placental mammal","rodent","animal",5,"black"
"rodent","rat","animal",6,"black"
"diapsid reptile","snake","animal",5,"black"
"rodent","squirrel","animal",6,"black"
"reptile","anapsid reptile","animal",4,"black"
"anapsid reptile","chelonian","animal",5,"black"
"chelonian","turtle","animal",6,"black"
"canine","wolf","animal",7,"black"
"tree","birch","plant",4,"black"
"artiodactyl mammal","ruminant","animal",7,"black"
"ruminant","bovid","animal",8,"black"
"bovid","bovine","animal",9,"black"
"bovine","cattle","animal",10,"black"
"invertebrate","shellfish","animal",2,"black"
"shellfish","pelecypod","animal",3,"black"
"pelecypod","clam","animal",4,"black"
"bird-footed dinosaur","ceratosaurus","animal",9,"black"
"ceratosaurus","coelophysis","animal",10,"black"
"placental mammal","cow","animal",5,"black"
"rodent","hamster","animal",6,"black"
"placental mammal","pachyderm","animal",5,"black"
"pachyderm","elephant","animal",6,"black"
"elephant","mammoth","animal",7,"black"
"placental mammal","primate","animal",5,"black"
"primate","monkey","animal",6,"black"
"craniate","fetus","animal",3,"black"
"fetus","monster","animal",4,"black"
"shellfish","cephalopod","animal",3,"black"
"cephalopod","octopod","animal",4,"black"
"octopod","octopus","animal",5,"black"
"canis familiaris","puppy","animal",8,"black"
"arachnid","scorpion","animal",4,"black"
"big cat","tiger","animal",8,"black"
"arthropod","insect","animal",3,"black"
"insect","hymenopter","animal",4,"black"
"hymenopter","ant","animal",5,"black"
"tree","angiospermous tree","plant",4,"black"
"angiospermous tree","fruit tree","plant",5,"black"
"fruit tree","apple tree","plant",6,"black"
"apple tree","apple","plant",7,"black"
"working dog","bulldog","animal",9,"black"
"artiodactyl mammal","camel","animal",7,"black"
"tracheophyte","herbaceous plant","plant",2,"black"
"herbaceous plant","carrot","plant",3,"black"
"bird","gallinacean","animal",4,"black"
"gallinacean","domestic fowl","animal",5,"black"
"domestic fowl","chicken","animal",6,"black"
"arthropod","crustacean","animal",3,"black"
"crustacean","decapod","animal",4,"black"
"decapod","crab","animal",5,"black"
"canis familiaris","dalmatian","animal",8,"black"
"herbaceous plant","gramineous plant","plant",3,"black"
"gramineous plant","grass","plant",4,"black"
"rodent","hedgehog","animal",6,"black"
"big cat","leopard","animal",8,"black"
"rodent","mouse","animal",6,"black"
"animal","mutant","animal",1,"black"
"tree","oak","plant",4,"black"
"primate","ape","animal",6,"black"
"ape","anthropoid ape","animal",7,"black"
"anthropoid ape","great ape","animal",8,"black"
"great ape","orangutan","animal",9,"black"
"bird","aquatic bird","animal",4,"black"
"aquatic bird","seabird","animal",5,"black"
"seabird","sphenisciform seabird","animal",6,"black"
"sphenisciform seabird","penguin","animal",7,"black"
"canis familiaris","pug","animal",8,"black"
"selachian","ray","animal",7,"black"
"ray","sawfish","animal",8,"black"
"tracheophyte","vine","plant",2,"black"
"gramineous plant","bamboo","plant",4,"black"
"herbaceous plant","banana","plant",3,"black"
"lizard","iguanid lizard","animal",7,"black"
"iguanid lizard","basilisk","animal",8,"black"
"insect","beetle","animal",4,"black"
"insect","lepidopterous insect","animal",4,"black"
"lepidopterous insect","butterfly","animal",5,"black"
"fruit tree","cherry","plant",6,"black"
"tree","chestnut","plant",4,"black"
"canis familiaris","toy dog","animal",8,"black"
"toy dog","chihuahua","animal",9,"black"
"bird","passeriform bird","animal",4,"black"
"passeriform bird","oscine","animal",5,"black"
"oscine","corvine bird","animal",6,"black"
"corvine bird","crow","animal",7,"black"
"ruminant","deer","animal",8,"black"
"tree","elm","plant",4,"black"
"ruminant","cervid","animal",8,"black"
"cervid","fawn","animal",9,"black"
"fish","bony fish","animal",5,"black"
"bony fish","teleost fish","animal",6,"black"
"teleost fish","spiny-finned fish","animal",7,"black"
"spiny-finned fish","flatfish","animal",8,"black"
"flatfish","flounder","animal",9,"black"
"craniate","amphibian","animal",3,"black"
"amphibian","frog","animal",4,"black"
"bovid","goat","animal",9,"black"
"artiodactyl mammal","hippo","animal",7,"black"
