"id","label","title","depth","node.regex","type","part.id","part.name","color.hex","text.color.hex","total.parts","theme.name"
"agamid lizard","agamid lizard","agamid lizard",7,"\b(agamid lizard)\b","animal",NA,NA,NA,NA,NA,NA
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","18904","Alligator / Crocodile Body New Style","#184632","#FFFFFF",8,"Town"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","18905pr0001","Alligator / Crocodile Head Upper Jaw with Yellow Eyes Print","#184632","#FFFFFF",8,"Town"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","18906","Alligator / Crocodile Tail with Hole","#184632","#FFFFFF",1,"Super Heroes"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","18906","Alligator / Crocodile Tail with Hole","#184632","#FFFFFF",8,"Town"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#184632","#FFFFFF",2,"Agents"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#184632","#FFFFFF",2,"Indiana Jones"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#184632","#FFFFFF",1,"Racers"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#184632","#FFFFFF",2,"The LEGO Movie"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#237841","#FFFFFF",2,"4 Juniors"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#237841","#FFFFFF",1,"Adventurers"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#237841","#FFFFFF",9,"Pirates"
"alligator","alligator","alligator",6,"\b(alligator|alligators)\b","animal","6026","Alligator / Crocodile Body","#237841","#FFFFFF",3,"Town"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0002","Dog - Alsatian / German Shepherd with Black Eyes Print","#A95500","#FFFFFF",2,"Master Building Academy"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0002","Dog - Alsatian / German Shepherd with Black Eyes Print","#A95500","#FFFFFF",1,"Modular Buildings"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0002","Dog - Alsatian / German Shepherd with Black Eyes Print","#A95500","#FFFFFF",1,"Seasonal"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0003","Dog - Alsatian / German Shepherd with Dalmatian Print","#FFFFFF","#000000",1,"Promotional"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0003","Dog - Alsatian / German Shepherd with Dalmatian Print","#FFFFFF","#000000",1,"Seasonal"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0003","Dog - Alsatian / German Shepherd with Dalmatian Print","#FFFFFF","#000000",3,"Town"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0006","Dog - Alsatian / German Shepherd with Black Eyes, Nose and Fur Print","#CC702A","#FFFFFF",1,"Town"
"alsatian","alsatian","alsatian",10,"\b(alsatian|alsatians)\b","animal","92586pr0007","Dog - Alsatian / German Shepherd With Black Nose and Ears, White Around Mouth","#5A93DB","#FFFFFF",1,"Super Heroes"
"amphibian","amphibian","amphibian",3,"\b(amphibian|amphibians)\b","animal",NA,NA,NA,NA,NA,NA
"anapsid reptile","anapsid reptile","anapsid reptile",4,"\b(anapsid reptile)\b","animal",NA,NA,NA,NA,NA,NA
"angiosperm","angiosperm","angiosperm",3,"\b(angiosperm|angiosperms)\b","plant",NA,NA,NA,NA,NA,NA
"angiospermous tree","angiospermous tree","angiospermous tree",4,"\b(angiospermous tree)\b","plant",NA,NA,NA,NA,NA,NA
"animal","animal","animal",0,"\b(animal|animals)\b","animal","21098pr0002","ANIMAL HEAD NO.15, NO. 2","#A0A5A9","#FFFFFF",2,"Minecraft"
"animal","animal","animal",0,"\b(animal|animals)\b","animal","41703","ANIMAL HEAD, NO. 38","#C91A09","#FFFFFF",1,"Minecraft"
"ant","ant","ant",5,"\b(ant|ants)\b","animal","23714","Ant with Lower Antistud","#0A3463","#FFFFFF",2,"Super Heroes"
"ant","ant","ant",5,"\b(ant|ants)\b","animal","62575pat0001","Ant - Translucent with Marbled Off-Black Pattern","#720E0F","#FFFFFF",8,"Indiana Jones"
"anthropoid ape","anthropoid ape","anthropoid ape",7,"\b(anthropoid ape)\b","animal",NA,NA,NA,NA,NA,NA
"ape","ape","ape",6,"\b(ape|aped|apes|aping)\b","animal",NA,NA,NA,NA,NA,NA
"apple","apple","apple",7,"\b(apple|apples)\b","plant","33051","Plant, Apple","#237841","#FFFFFF",14,"Belville"
"apple","apple","apple",7,"\b(apple|apples)\b","plant","33051","Plant, Apple","#237841","#FFFFFF",1,"Harry Potter"
