"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","num.parts","style"
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"30475","Minifig Hair Long and Half Braided",65,"Minifig Headwear",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF",1,"Long"
"10193-1","Medieval Market Village",2009,1618,193,"Castle","Fantasy Era",NA,10306,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10199-1","Winter Toy Shop",2009,815,227,"Seasonal","Christmas",NA,9814,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10210-1","Imperial Flagship",2010,1656,153,"Pirates","Pirates II",NA,1589,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10211-1","Grand Emporium",2010,2186,155,"Modular Buildings",NA,NA,6619,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"40238","Minifig Hair Long and Bushy with Full Beard",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10217-1","Diagon Alley",2011,2031,246,"Harry Potter",NA,NA,14029,NA,1,1,"40239","Minifig Hair Long",65,"Minifig Headwear",FALSE,19,"Tan","#E4CD9E",FALSE,"#000000",1,"Long"
"10218-1","Pet Shop",2011,2034,155,"Modular Buildings",NA,NA,14858,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10222-1","Winter Village Post Office",2011,821,227,"Seasonal","Christmas",NA,330,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10224-1","Town Hall",2012,2771,155,"Modular Buildings",NA,NA,7420,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10224-1","Town Hall",2012,2771,155,"Modular Buildings",NA,NA,7420,NA,1,1,"92083","Minifig Hair Long Smooth with Bangs Swept to the Right",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10228-1","Haunted House",2012,2062,558,"Monster Fighters",NA,NA,505,NA,1,1,"95225","Minifig Hair Long Wavy with Centre Part",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10231-1","Shuttle Expedition",2011,1230,276,"Sculptures",NA,NA,7748,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10235-1","Winter Village Market [Initial Release]",2013,1260,227,"Seasonal","Christmas",NA,9390,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10236-1","Ewok Village",2013,1995,169,"Star Wars","Star Wars Episode 4/5/6",NA,6146,NA,1,1,"11261","Minifig Hair Long with Braided Front",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10237-1","The Tower of Orthanc",2013,2360,568,"The Hobbit and Lord of the Rings","The Lord of the Rings","The Two Towers",4586,NA,1,1,"13768pr0001","Minifig Hair Long Straight with Centre Part and Beard Light and Dark Bluish Gray Print",65,"Minifig Headwear",FALSE,15,"White","#FFFFFF",FALSE,"#000000",1,"Long"
"10237-1","The Tower of Orthanc",2013,2360,568,"The Hobbit and Lord of the Rings","The Lord of the Rings","The Two Towers",4586,NA,1,1,"40239","Minifig Hair Long",65,"Minifig Headwear",FALSE,71,"Light Bluish Gray","#A0A5A9",FALSE,"#FFFFFF",1,"Long"
"10243-1","Parisian Restaurant",2014,2470,155,"Modular Buildings",NA,NA,8683,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10243-1","Parisian Restaurant",2014,2470,155,"Modular Buildings",NA,NA,8683,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10244-1","Fairground Mixer",2014,1743,673,"Creator","Creator Expert",NA,2126,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"10244-1","Fairground Mixer",2014,1743,673,"Creator","Creator Expert",NA,2126,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10247-1","Ferris Wheel",2015,2463,673,"Creator","Creator Expert",NA,9971,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10247-1","Ferris Wheel",2015,2463,673,"Creator","Creator Expert",NA,9971,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10249-1","Winter Toy Shop",2015,897,227,"Seasonal","Christmas",NA,5213,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10259-1","Winter Village Station",2017,902,227,"Seasonal","Christmas",NA,20036,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,72,"Dark Bluish Gray","#6C6E68",FALSE,"#FFFFFF",1,"Long"
"10261-1","Roller Coaster",2018,4124,673,"Creator","Creator Expert",NA,25242,NA,1,1,"20595","Minifig Hair Long Tousled with Center Part",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10264-1","Corner Garage",2019,2569,155,"Modular Buildings",NA,NA,30387,NA,1,1,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,84,"Medium Dark Flesh","#CC702A",FALSE,"#FFFFFF",1,"Long"
"10405-1","Mission to Mars",2018,871,621,"Classic",NA,NA,21143,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"1045-2","Educational LEGO Building Set",1976,683,511,"Educational and Dacta","Building Set with People",NA,10309,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10674-1","Pony Farm",2014,305,591,"Juniors",NA,NA,13000,NA,1,1,"92254pr0001","Minidoll Hair Long with Ponytail and Black Riding Helmet Print",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"10684-1","Supermarket Suitcase",2015,134,591,"Juniors",NA,NA,16124,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10723-1","Ariel's Dolphin Carriage",2016,70,593,"Juniors","Disney Princess",NA,6676,NA,1,1,"15677","Minidoll Hair Long Wavy, Right Side Part, with Short Sides, 2 Holes - 1 each on Top and Side (Ariel)",65,"Minifig Headwear",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF",1,"Long"
"10726-1","Stephanie's Horse Carriage",2016,58,496,"Friends","Animals",NA,11035,NA,1,1,"92254pr0001","Minidoll Hair Long with Ponytail and Black Riding Helmet Print",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"10727-1","Emma's Ice Cream Truck",2016,136,595,"Juniors","Friends",NA,12463,NA,1,1,"92258","Minidoll Hair Long Wavy, Partially Tied Back [2 Holes]",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10727-1","Emma's Ice Cream Truck",2016,136,595,"Juniors","Friends",NA,12463,NA,1,1,"93352","Minidoll Hair Long with Curls",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10728-1","Mia's Vet Clinic",2016,182,595,"Juniors","Friends",NA,6573,NA,1,1,"92256","Minidoll Hair Long Wavy [2 Holes]",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"10728-1","Mia's Vet Clinic",2016,182,595,"Juniors","Friends",NA,6573,NA,1,1,"92257","Minidoll Hair Long with Ponytail and Side Bangs [1 Hole]",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"10736-1","Anna & Elsa's Frozen Playground",2017,94,591,"Juniors",NA,NA,3818,NA,1,1,"18844","Minidoll Hair Long with Ponytail French Braided with 2 Holes",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"10736-1","Anna & Elsa's Frozen Playground",2017,94,591,"Juniors",NA,NA,3818,NA,1,1,"19195pr0001","Minidoll Hair Long with Pigtails and Magenta Winter Hat with White Fur Trim Print",65,"Minifig Headwear",FALSE,484,"Dark Orange","#A95500",FALSE,"#FFFFFF",1,"Long"
"10746-1","Mia's Farm Suitcase",2017,106,595,"Juniors","Friends",NA,12887,NA,1,1,"92257","Minidoll Hair Long with Ponytail and Side Bangs [1 Hole]",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"10747-1","Andrea and Stephanie's Beach Holiday",2017,143,595,"Juniors","Friends",NA,850,NA,1,1,"92255","Minidoll Hair Long Straight [2 Holes]",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"10747-1","Andrea and Stephanie's Beach Holiday",2017,143,595,"Juniors","Friends",NA,850,NA,1,1,"93352","Minidoll Hair Long with Curls",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10748-1","Emma's Pet Party",2018,67,595,"Juniors","Friends",NA,21095,NA,1,1,"92258","Minidoll Hair Long Wavy, Partially Tied Back [2 Holes]",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10749-1","Mia's Organic Food Market",2018,115,595,"Juniors","Friends",NA,21096,NA,1,1,"92257","Minidoll Hair Long with Ponytail and Side Bangs [1 Hole]",65,"Minifig Headwear",FALSE,320,"Dark Red","#720E0F",FALSE,"#FFFFFF",1,"Long"
"1075-1","LEGO People Supplementary Set",1980,256,511,"Educational and Dacta","Building Set with People",NA,14282,NA,4,4,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",4,"Long"
"10761-1","The Great Home Escape",2018,178,591,"Juniors",NA,NA,23688,NA,1,1,"37749","Minifig Hair Long Straight Black with Orange Band Print",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"10762-1","Belle's Story Time",2018,87,593,"Juniors","Disney Princess",NA,24618,NA,1,1,"23955","Minidoll Hair Long with Parted Bangs, Curls, Bun, and Hole on Top",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,24619,NA,1,1,"35182","Minidoll Hair Long and Textured, Hole on Top and Side",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,24619,NA,1,1,"35620","Minidoll Hair Long Wavy with Side French Braid",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,24619,NA,1,1,"92255","Minidoll Hair Long Straight [2 Holes]",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,29468,NA,1,1,"35182","Minidoll Hair Long and Textured, Hole on Top and Side",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,29468,NA,1,1,"35620","Minidoll Hair Long Wavy with Side French Braid",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"10763-1","Stephanie's Lakeside House",2018,215,494,"Friends",NA,NA,29468,NA,1,1,"92255","Minidoll Hair Long Straight [2 Holes]",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"10765-1","Ariel's Underwater Concert",2018,95,579,"Disney Princess",NA,NA,25480,NA,1,1,"15677","Minidoll Hair Long Wavy, Right Side Part, with Short Sides, 2 Holes - 1 each on Top and Side (Ariel)",65,"Minifig Headwear",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF",1,"Long"
"111-1","Universal Building Set",1977,173,469,"Universal Building Set","Basic Set",NA,6879,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"112-1","Universal Building Set",1977,200,469,"Universal Building Set","Basic Set",NA,4456,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"113-1","Universal Building Set",1977,293,469,"Universal Building Set","Basic Set",NA,6672,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"114-1","Universal Building Set",1977,390,469,"Universal Building Set","Basic Set",NA,3401,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"1561-2","Lufthansa Flight Crew",1976,60,364,"Building Set with People",NA,NA,818,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"190-1","Farm Set",1974,526,364,"Building Set with People",NA,NA,9936,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"194-1","Family",1976,94,364,"Building Set with People",NA,NA,10876,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"195-1","Airplane",1975,89,364,"Building Set with People",NA,NA,3883,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"196-1","Antique Car",1975,115,364,"Building Set with People",NA,NA,4359,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"197-1","Farm Vehicle and Animals",1976,120,364,"Building Set with People",NA,NA,1290,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"199-1","Scooter",1977,41,364,"Building Set with People",NA,NA,7981,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"2000446-1","Building My SG - Reflect, Celebrate, Inspire",2015,243,517,"Educational and Dacta","Learning",NA,1311,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"2000703-1","Lego Mindstorms Education Replacement Pack 4",2015,32,525,"Educational and Dacta","Service Packs","Technic",31732,NA,2,2,"88286","Minifig Hair Ponytail Long French Braided",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",2,"Long"
"200-1","Family",1974,78,364,"Building Set with People",NA,NA,4059,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"20-1","Universal Building Set",1976,217,469,"Universal Building Set","Basic Set",NA,12867,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"205-2","Universal Figure Set",1978,118,364,"Building Set with People",NA,NA,11599,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF",1,"Long"
"205-2","Universal Figure Set",1978,118,364,"Building Set with People",NA,NA,11599,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"208-1","Mother with Baby Carriage",1978,46,364,"Building Set with People",NA,NA,2928,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"211-1","Mother and Baby with Dog",1976,44,364,"Building Set with People",NA,NA,8789,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"21110-1","Research Institute",2014,163,576,"LEGO Ideas and CUUSOO",NA,NA,8764,NA,1,1,"62696","Minifig Hair Ponytail Long with Side Bangs",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"21208-1","Resort Designer",2014,262,590,"Fusion",NA,NA,15497,NA,1,1,"92256","Minidoll Hair Long Wavy [2 Holes]",65,"Minifig Headwear",FALSE,70,"Reddish Brown","#582A12",FALSE,"#FFFFFF",1,"Long"
"212-2","Scooter",1976,41,364,"Building Set with People",NA,NA,13931,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"21302-1","The Big Bang Theory",2015,498,576,"LEGO Ideas and CUUSOO",NA,NA,11131,NA,1,1,"92083","Minifig Hair Long Smooth with Bangs Swept to the Right",65,"Minifig Headwear",FALSE,308,"Dark Brown","#352100",FALSE,"#FFFFFF",1,"Long"
"21302-1","The Big Bang Theory",2015,498,576,"LEGO Ideas and CUUSOO",NA,NA,11131,NA,1,1,"95225","Minifig Hair Long Wavy with Centre Part",65,"Minifig Headwear",FALSE,226,"Bright Light Yellow","#FFF03A",FALSE,"#000000",1,"Long"
"21312-1","Women of NASA",2017,231,576,"LEGO Ideas and CUUSOO",NA,NA,20628,NA,1,1,"92083","Minifig Hair Long Smooth with Bangs Swept to the Right",65,"Minifig Headwear",FALSE,84,"Medium Dark Flesh","#CC702A",FALSE,"#FFFFFF",1,"Long"
"215-1","Red Indians",1977,81,364,"Building Set with People",NA,NA,13490,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"217-1","Service Station",1977,211,364,"Building Set with People",NA,NA,9770,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"230-1","Hairdressing Salon",1978,227,405,"Homemaker",NA,NA,16263,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,4,"Red","#C91A09",FALSE,"#FFFFFF",1,"Long"
"230-1","Hairdressing Salon",1978,227,405,"Homemaker",NA,NA,16263,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"231-1","Hospital",1978,400,405,"Homemaker",NA,NA,2391,NA,2,2,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",2,"Long"
"232-1","Bungalow",1978,472,405,"Homemaker",NA,NA,10992,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
"250-3","Aeroplane and Pilot",1974,89,364,"Building Set with People",NA,NA,10244,NA,1,1,"x196","Homemaker Figure Hair Long",65,"Minifig Headwear",FALSE,0,"Black","#05131D",FALSE,"#FFFFFF",1,"Long"
