"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","gender","num.parts"
"0011-2","Town Mini-Figures",1978,12,84,"Town","Classic Town","Supplemental",5087,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"0012-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,1414,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"0013-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,4609,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"0014-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,5004,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2
"0015-1","Space Mini-Figures",1979,18,143,"Space","Supplemental",NA,12208,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"0016-1","Castle Mini Figures",1978,15,186,"Castle",NA,NA,13351,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3
"0241199312-1","DC Super Heroes: Character Encyclopedia",2016,5,497,"Books",NA,NA,27753,NA,1,1,"3626cpr1868","Minifig, Head Dual Sided Balaclava, White Headband, Smile Mouth Corner Raised / Clenched Teeth Print (60's Batman) [Hollow Stud]",59,"Minifig Heads",FALSE,272,"Dark Blue","#0A3463",FALSE,"#FFFFFF","Unknown",1
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,1,1,"3626bpr0630","Minifig Head Alien with Large Black Eyes, Wide Mouth And Dark Blue Spots Print (Atlantis Manta Ray) [Blocked Open Stud]",59,"Minifig Heads",FALSE,71,"Light Bluish Gray","#A0A5A9",FALSE,"#FFFFFF","Unknown",1
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,1,1,"3626bpr0644","Minifig Head Dual Sided Thin Eyebrows, Open Smile / Surprised Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1
"0756672805-1","Pirates: Brickmaster",2009,162,497,"Books",NA,NA,10414,NA,1,1,"3626bpr0348","Minifig Head Male - Messy Black Hair, Goatee Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1
