"set.id","set.name","year","set.num.parts","theme.id","theme.name","sub.theme.name","sub.sub.theme.name","inventory.id","inv.num.sets","inv.num.parts","total.parts","part.id","part.name","part.category.id","part.category.name","part.is.spare","color.id","color.name","color.hex","color.is.trans","text.color.hex","gender","num.parts","mood","mood.color"
"0011-2","Town Mini-Figures",1978,12,84,"Town","Classic Town","Supplemental",5087,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"0012-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,1414,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"0013-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,4609,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"0014-1","Space Mini-Figures",1979,12,143,"Space","Supplemental",NA,5004,NA,2,2,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",2,"Happy","#F2CD37"
"0015-1","Space Mini-Figures",1979,18,143,"Space","Supplemental",NA,12208,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"0016-1","Castle Mini Figures",1978,15,186,"Castle",NA,NA,13351,NA,3,3,"3626apr0001","Minifig Head Standard Grin Print [Solid Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",3,"Happy","#F2CD37"
"0241199312-1","DC Super Heroes: Character Encyclopedia",2016,5,497,"Books",NA,NA,27753,NA,1,1,"3626cpr1868","Minifig, Head Dual Sided Balaclava, White Headband, Smile Mouth Corner Raised / Clenched Teeth Print (60's Batman) [Hollow Stud]",59,"Minifig Heads",FALSE,272,"Dark Blue","#0A3463",FALSE,"#FFFFFF","Unknown",1,"Happy","#F2CD37"
"0756668530-1","Atlantis: Brickmaster",2010,157,497,"Books",NA,NA,6399,NA,1,1,"3626bpr0644","Minifig Head Dual Sided Thin Eyebrows, Open Smile / Surprised Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"0756698126-1","Ninjago: Character Encyclopedia",2012,5,497,"Books",NA,NA,27219,NA,1,1,"3626cpr0866","Minifig Head Dual Sided Thin Smirk, Raised Eyebrow / Scared with Teeth Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10027-1","Train Engine Shed",2003,670,239,"Train","9V","World City",10953,NA,1,1,"3626bpr0270","Minifig Head with Orange Beard around Mouth, White Smile, White Pupils Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10029-1","Lunar Lander",2003,468,387,"Discovery",NA,NA,7830,NA,2,2,"3626bp69","Minifig Head Male Headset Over Smile, Red-Brown Hair & Eyebrows Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",2,"Happy","#F2CD37"
"10036-1","Pizza To Go",2002,150,75,"Town","Classic Town","Food & Drink",14730,NA,1,1,"3626bp03","Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10036-1","Pizza To Go",2002,150,75,"Town","Classic Town","Food & Drink",14730,NA,1,1,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10037-1","Breezeway Cafe",2002,194,75,"Town","Classic Town","Food & Drink",7939,NA,5,5,"3626bpr0001","Minifig Head Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",5,"Happy","#F2CD37"
"100STORES-1","100 LEGO Stores North America",2019,5,408,"LEGO Brand Store",NA,NA,31507,NA,1,1,"3626cpb1001","Minifig Head Male Dark Brown Eyebrows, Open Sideways Smile with Dimples Print [Hollow Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bpr0342","Minifig Head Male Smirk and Brown Eyebrows Print [Han Solo] [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Male",1,"Happy","#F2CD37"
"10123-1","Cloud City",2003,707,169,"Star Wars","Star Wars Episode 4/5/6",NA,11846,NA,1,1,"3626bpr0454","Minifig Head Moustache Thin, Standard Grin, Eyebrows, Small Eyelashes Print (SW Lando) [Blocked Open Stud]",59,"Minifig Heads",FALSE,6,"Brown","#583927",FALSE,"#FFFFFF","Male",1,"Happy","#F2CD37"
"10156-1","LEGO Truck",2004,105,85,"Town","Classic Town","Traffic",5170,NA,1,1,"3626bp04","Minifig Head Glasses with Black Sunglasses and Standard Grin Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Unknown",1,"Happy","#F2CD37"
"10157-1","High Speed Train Locomotive",2004,142,239,"Train","9V","World City",12800,NA,1,1,"3626bpb0190","Minifig Head Female with Red Lips, Wide Smile, Small Eyelashes Print [Blocked Open Stud]",59,"Minifig Heads",FALSE,14,"Yellow","#F2CD37",FALSE,"#000000","Female",1,"Happy","#F2CD37"
