"rel_type","child_part_num","parent_part_num"
"A","50990b","50990a"
"P","3298pb010","3298"
"P","19729pr0013a","19729"
"P","3070bpb043","3070b"
"P","6180pb017l","6180"
"P","76371pr0109","76371"
"P","3626cpr1951","3626c"
"P","3626cpr9970","3626c"
"P","76371pr0112","76371"
"P","3069bpr0235","3069b"
"P","3626cpr1162","3626c"
"P","973pr4009c01","973c00"
"P","3010p20c","3010"
"P","3010pr0037","3010"
"P","3626cpr2695","3626c"
"P","3010pr0038","3010"
"P","3626cpr2705","3626c"
"P","2586px13","2586"
"P","973pr2665c01","973c00"
"P","3626cpr2617","3626c"
"P","3626cpr1952","3626c"
"P","87079pr9996","87079"
"P","20904pr0001","20904"
"M","30361pr1","30361cpr1"
"P","970c00pr1352","970c00"
"P","973pr3953c01","973c00"
"P","3678bpr0046","3678b"
"P","32086ps1","32086"
"M","92950","3455"
"P","99248pr9999","99248"
"P","3626cpr9968","3626c"
"A","11954","62531"
"P","973pr4283c01","973c00"
"P","76371pr104","76371"
"P","31110pr0019","31110"
"P","3626cpr9976","3626c"
"P","3004pr0004","3004"
"P","3069bpr0015","3069b"
"P","973pr4199c01","973c00"
"P","3069bpr0220","3069b"
"P","973pr4304c01","973c00"
"P","973pr4300c01","973c00"
"P","44375bpr0004a","44375a"
"P","27382pr0002","27382"
"P","2302pr0009","2302"
"P","3623pr0019","3623"
"P","3622pr0029","3622"
"P","4066pr0129","4066"
"P","4740pr0001","4740"
"P","31110pr0110","31110"
"P","11344pr0009","11344"
"P","98223pr0006a","98223"
"P","3011pr1012","3011"
"P","4198pr0005","4198"
"P","4198pr0012","4198"
"P","19044pr01","19044"
"P","31110pr0115","31110"
"P","3011pr0001","3011"
"P","88760c01pr0005","88760"
"P","30183p01","30183"
"P","6180pb017r","6180"
"M","60607","2529"
"P","31213pr0005","31213"
"P","3010p20b","3010"
"P","41970pr0001","41970"
"P","3626cpr1682","3626c"
"P","3004pr0039","3004"
"P","970c00pr0277","970c00"
"T","15678pat0002","15678"
"P","2431pr0129","2431"
"P","11477pr0006","11477"
"P","973pr1837c01","973c00"
"P","4066pr0011","4066"
"P","98345pr0001","98345"
"P","4066pr0012","4066"
"P","35787pr0001","35787"
"A","2318c01","2318c02"
"P","31110pr0013","31110"
"P","3005pr0018","3005"
"P","3069bpr0242","3069b"
"P","4066pr0014","4066"
"P","973pr3447c01","973c00"
"P","973pr2718c01","973c01"
"M","18759","2341"
"P","973pr1160c01","973c00"
"P","85983pr02","85983"
"P","3678bpr0036","3678b"
"A","53406","75542"
"T","57551pat0001","57551"
"T","53549pat0001","53549"
"T","53549pat0002","53549"
"T","53983pat0001","53983"
"P","3004pr0035","3004"
"P","973pr2157c01","973c00"
"P","973pr2160c01","973c00"
"P","973pr2153c01","973c00"
"P","973pr2214c01","973c00"
"P","970c00pr1581","970c00"
"P","970c00pr9984","970c00"
"P","76371pr0105","76371"
"P","18990pr0001","18990"
"P","973pr0298c01","973c00"
"P","973pr2170c01","973c00"
"P","973pr0297c01","973c00"
"P","3626cpr1314","3626c"
"P","3626cpr1290","3626c"
"P","3626cpr1289","3626c"
"P","973pr2173c01","973c00"
"P","3626cpr1291","3626c"
"P","973pr0296c01","973c00"
"P","973pr4459c01","973c00"
"P","973pr0295c01","973c00"
"P","973pr2171c01","973c00"
"P","3626cpr1191","3626c"
"P","973pr2363c01","973c00"
"P","970c09pr0546","970c00"
"P","3846pr0004b","3846"
"P","3626cpr1208","3626c"
"A","30599","30598"
"P","24093pr0012","24093"
"P","19729pr0038","19729"
"P","3626cpr2450","3626c"
"P","973pr4456c01","973c00"
"P","3626cpr2468","3626c"
"P","3245cpr0142","3245c"
"P","970d00pr1420","970c00"
"P","973pr4096c01","973c00"
"P","22385pr1003","22385"
"P","32474pr1015","32474"
"P","26603pr0012","26603"
"P","3626cpr2519","3626c"
"P","973pr4457c01","973c00"
"P","970c00pr1474","970c00"
"P","3626cpr1194","3626c"
"P","3626cpr2520","3626c"
"P","973pr4458c01","973c00"
"P","973pr4197c01","973c00"
"P","973pr4189c01","973c00"
"P","3069bpr0257","3069b"
"P","973pr4190c01","973c00"
"P","3626cpr2490","3626c"
"P","970c00pr0502","970c00"
"P","973pr2340c01","973c00"
