"theme.name","total.parts","total.heads","ethnic.diversity","pct.female","total.hair","total.clothes","total.accessories","total.fashion.items","total.moods","total.plants","plant.species.diversity","total.animals","animal.species.diversity","total.plants.animals"
"4 Juniors",1805,1,0,0,NA,2,3,3,1,13,0.391243563629256,27,2.53732072509209,40
"Adventurers",4585,104,0.867601822919452,10.958904109589,3,228,197,316,11,100,0.92481870497303,98,2.65403541055939,198
"Agents",11331,86,0.768793084545035,26.4705882352941,54,278,185,401,47,11,1.24067053167669,20,2.14643934467102,31
"Alpha Team",4608,77,1.17365641031662,21.2121212121212,10,120,150,201,10,4,0,37,0.480433457452962,41
"Angry Birds",2452,NA,NA,NA,NA,7,4,11,NA,35,2.66531641815847,8,1.06127812445913,43
"Aquazone",4133,48,0,0,NA,96,111,156,15,28,1,21,0.985228136034252,49
"Architecture",26186,3,1.58496250072116,NA,1,9,3,13,NA,12,1.79248125036058,NA,NA,12
"Atlantis",6192,49,1.85209806193183,17.3913043478261,NA,219,51,257,33,51,0.783613882124629,73,2.33307997188079,124
"Avatar",1141,9,0.76420450650862,16.6666666666667,1,20,8,25,1,NA,NA,1,0,1
"Belville",7058,34,1.65672643434091,NA,NA,3,14,17,NA,750,3.50579244736077,209,3.61056624171652,959
"Ben 10",117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bionicle",22577,29,2.88266332219156,NA,NA,157,1,158,NA,25,2.84307418942857,54,3.03768276228938,79
"Boat",2853,32,0,0,NA,64,54,76,30,NA,NA,2,0,2
"Books",3900,124,2.53452205039928,8.51063829787234,30,286,225,385,60,50,2.77391195130055,18,2.86382639009082,68
"Brickheadz",11210,4,1.5,NA,NA,NA,9,9,NA,44,3.14036116369848,5,0.721928094887362,49
"Building Set with People",3835,90,0.309543429150325,0,52,3,25,64,54,18,1.43552050428267,NA,NA,18
"Bulk Bricks",7247,1,0,NA,12,6,24,33,NA,75,0,2,0,77
"Cars",4619,NA,NA,NA,NA,40,2,42,NA,NA,NA,NA,NA,NA
"Castle",34178,620,0.6392282723403,6.2962962962963,18,1295,642,1633,388,315,2.51241286499291,432,3.58229384267179,747
"Classic",15570,12,0.650022421648354,NA,10,22,34,48,10,151,2.76233726602602,18,2.92745122496452,169
"Clikits",3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collectible Minifigures",3232,210,1.62724176696655,43,110,416,362,619,135,18,2.64160416786859,23,3.38162010794873,41
"Creator",175090,256,1.86360813572044,44.4444444444444,104,475,266,680,147,1114,3.11070443278186,163,3.59538262390583,1277
"DC Super Hero Girls",3907,19,1.16354020112107,77.7777777777778,18,46,56,73,8,28,1.35713050134262,7,0.863120568566631,35
"Designer Sets",9176,2,0,NA,NA,2,NA,2,NA,1,0,NA,NA,1
"Dimensions",6535,86,2.81438502513896,60,37,213,123,275,46,28,2.56471251064792,11,1.09579525500093,39
"Dino",2291,14,0,12.5,4,44,42,59,13,12,0.816689088315021,23,2.03394782871614,35
"Dino 2010",1479,7,0.591672778582327,0,NA,18,22,26,2,NA,NA,10,2.16096404744368,10
"Dino Attack",1290,10,0.721928094887362,0,NA,23,24,34,2,NA,NA,10,2.16096404744368,10
"Dinosaurs",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,1.21081002610603,19
"Discovery",486,2,0,0,NA,4,12,11,2,NA,NA,NA,NA,NA
"Disney",5005,18,2.23909791798879,NA,9,30,44,60,1,73,2.66957243166115,27,2.54101944620727,100
"Disney Princess",9333,77,2.42654326528387,0,45,119,208,283,9,763,3.196685690559,95,3.66190344116621,858
"Disney's Mickey Mouse",433,NA,NA,NA,NA,NA,NA,NA,NA,22,1.83836851502607,2,0,24
"Duplo",37080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2
"Educational and Dacta",98747,726,0.275296263826153,50.7462686567164,311,1581,725,2095,687,1004,2.94633846843569,161,3.37696388503448,1165
"Elves",16073,85,2.03722504132432,0,65,155,185,286,36,849,3.57950386768382,212,4.08600227602478,1061
"Exo-Force",6768,27,0.753334724781569,0,23,196,20,232,11,12,0,1,0,13
"Fabuland",3365,NA,NA,NA,NA,NA,NA,NA,NA,267,2.02885037849493,NA,NA,267
"Factory",8640,18,1.53049305675748,0,1,82,24,95,6,7,0,10,0,17
"FIRST LEGO League",27082,38,0,45.4545454545455,23,74,62,117,30,133,2.8171482309388,10,2.32192809488736,143
"Forma",396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3
"Freestyle",14859,54,0.228538143953528,24,22,104,19,137,29,478,2.41324399146421,29,1.47476948000844,507
"Friends",53403,311,1.6068000921737,0,298,652,1314,1564,24,3228,3.24456283726342,458,3.80198090410072,3686
"Fusion",953,2,1,NA,2,4,3,6,1,NA,NA,NA,NA,NA
"Gear",18392,278,2.28607267360382,25.2873563218391,53,529,316,722,132,156,2.68204766791366,122,3.48508351240136,278
"Ghostbusters",5376,22,2.64242396177197,0,14,46,10,66,6,4,1,NA,NA,4
"Harry Potter",24921,225,2.13047903124599,31.5068493150685,160,445,215,696,108,211,2.65996020354914,215,3.65869083723801,426
"Hero Factory",5208,20,1.83949107030013,NA,NA,157,NA,157,NA,NA,NA,NA,NA,NA
"Hobby Sets",3581,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Homemaker",4823,58,1.2762834660664,0,42,12,15,58,22,214,2.25335838234556,NA,NA,214
"Indiana Jones",5578,84,1.65583171159351,14.5833333333333,22,172,142,228,42,84,1.64088847906944,53,2.83546338010758,137
"Inventor",1188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1
"Island Xtreme Stunts",1063,26,0,19.047619047619,9,52,28,80,16,1,0,2,0,3
"Juniors",8714,120,2.2901774548675,29.4117647058824,44,253,262,408,70,225,3.16118155333468,74,3.60513935434191,299
"Jurassic World",6878,43,1.14778147695429,42.8571428571429,28,90,94,133,32,60,2.08740775214209,79,2.87944387731524,139
"Legends of Chima",11655,123,3.48778523408757,0,NA,367,205,379,38,154,2.6577609346628,40,2.44509564954576,194
"LEGO Brand Store",15346,142,0.928071604822116,34.1176470588235,85,262,144,395,110,227,2.71708464590211,13,2.18878706780238,240
"LEGO Exclusive",48,3,0,0,NA,6,5,8,3,1,0,1,0,2
"LEGO Ideas and CUUSOO",20150,69,2.45360059093633,62.5,39,146,110,233,48,60,3.11884079184905,49,2.87891907258439,109
"Legoland",17887,115,0,12.5,21,232,13,254,16,60,1.25677964944704,2,0,62
"Legoland Parks",3720,8,1.5,33.3333333333333,4,8,8,13,3,11,1.24067053167669,4,1.5,15
"Master Building Academy",9792,204,1.46905611203118,25,56,561,60,673,134,38,0.831474388009729,50,2.28307418942857,88
"Mindstorms",8462,2,0,100,1,4,NA,5,2,NA,NA,4,0,4
"Minecraft",23272,168,3.50520496391714,0,NA,268,38,295,NA,666,2.02268065964837,24,2.75686654318252,690
"Minitalia",1577,NA,NA,NA,NA,NA,NA,NA,NA,6,0.91829583405449,NA,NA,6
"Mixels",4222,16,0,NA,NA,19,3,22,NA,10,1.57095059445467,21,2.22042978113891,31
"Model Team",11350,NA,NA,NA,NA,NA,2,2,NA,NA,NA,1,0,1
"Modular Buildings",36998,102,1.06618961253787,40,61,290,135,392,71,517,3.09157824400816,58,2.77347266530875,575
"Monster Fighters",2771,26,2.2766108716544,33.3333333333333,4,39,15,44,4,13,1.54659356429494,20,2.49046857073283,33
"Nexo Knights",19183,186,2.35279201513676,5,28,625,227,795,96,13,2.19200583549211,74,2.70172868254443,87
"Ninja",2821,54,0.133039648610699,4.25531914893617,NA,113,59,159,17,30,0,35,1.98551087803048,65
"Ninjago",78925,774,2.58411722423782,18.3673469387755,159,2136,1561,2896,372,386,3.28073486692816,460,3.76650514678925,846
"Other",13537,34,0.966980348768924,31.25,18,53,42,85,19,87,1.77398768599837,NA,NA,87
"Overwatch",2711,13,2.19200583549211,71.4285714285714,7,45,22,60,3,5,0.970950594454669,NA,NA,5
"Pharaoh's Quest",1902,26,1.39935566753234,9.09090909090909,6,56,44,72,4,10,0.468995593589281,23,2.07405341572495,33
"Pirates",15790,278,0.373108980940379,7.60233918128655,27,589,352,770,68,398,1.51162488102441,151,2.7762336659904,549
"Pirates of the Caribbean",6362,73,2.03397024934002,17.8571428571429,30,163,122,199,39,25,1.40567805524634,32,0.930892729010363,57
"Power Functions",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Power Miners",2701,25,1.59933083223654,0,1,41,40,63,14,1,0,4,1,5
"Primo",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prince of Persia",1910,24,0.658351422456408,10,8,57,34,65,15,27,1.83384967102946,16,2.18003653257727,43
"Promotional",10233,39,0.914504630687147,54.5454545454545,30,78,63,135,27,93,2.48319713374675,11,1.86763389097121,104
"Quatro",518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Racers",43728,129,1.63957226135756,6.89655172413793,8,251,331,452,53,35,1.19153806991339,23,2.91401630350684,58
"Rock Raiders",1377,17,0,23.5294117647059,NA,34,62,63,3,NA,NA,3,0,3
"Scala",3088,NA,NA,NA,NA,NA,2,2,NA,249,2.86451609707685,12,1.95914791702724,261
"Scooby-Doo",1919,20,2.31997309402198,NA,10,34,5,49,1,16,1.84960175271458,23,1.8048956511448,39
"Sculptures",55574,47,0.925225327805443,33.3333333333333,7,30,26,49,23,22,1.54402409648195,NA,NA,22
"Seasonal",32858,293,1.70770720104762,39.2523364485981,113,590,472,912,195,844,3.41615945602774,100,3.35157911093792,944
"Service Packs",6745,11,0.439496986921513,NA,26,25,98,125,10,46,2.40638958973139,22,2.06265634803727,68
"Space",42642,471,1.50570691651514,11.3924050632911,5,1070,758,1477,318,10,0.881290899230693,29,1.84562766973822,39
"Speed Champions",10023,66,0.113274303497097,34.0425531914894,16,164,184,279,45,NA,NA,NA,NA,NA
"SpongeBob SquarePants",4507,38,2.71532669877181,NA,NA,82,36,91,6,45,2.0781359715664,4,0,49
"Sports",8463,274,0.567758694005784,4.79452054794521,170,547,61,756,138,11,0.439496986921513,NA,NA,11
"Spybiotics",949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
